"collaboration_group","sequence","title","authid","authname","journal_name","date"
1,"1","drexml: A command line tool and Python package for drug repurposing","57209714656","Esteban-Medina M.","Computational and Structural Biotechnology Journal","2024"
1,"2","drexml: A command line tool and Python package for drug repurposing","57223985892","de la Oliva Roque V.M.","Computational and Structural Biotechnology Journal","2024"
1,"3","drexml: A command line tool and Python package for drug repurposing","58311444700","Herráiz-Gil S.","Computational and Structural Biotechnology Journal","2024"
1,"4","drexml: A command line tool and Python package for drug repurposing","38862776400","Peña-Chilet M.","Computational and Structural Biotechnology Journal","2024"
1,"5","drexml: A command line tool and Python package for drug repurposing","18133480200","Dopazo J.","Computational and Structural Biotechnology Journal","2024"
1,"6","drexml: A command line tool and Python package for drug repurposing","56030812700","Loucera C.","Computational and Structural Biotechnology Journal","2024"
2,"1","USE OF BLOCKCHAIN TECHNOLOGY IN EDUCATIONAL FIELD","58843716000","Samarai B.A.","International Journal on Technical and Physical Problems of Engineering","2024"
3,"1","A bio-inspired exogenous attention-based architecture for social robots","57204553474","Marques-Villarroya S.","Expert Systems with Applications","2024"
3,"2","A bio-inspired exogenous attention-based architecture for social robots","7202601719","Castillo J.C.","Expert Systems with Applications","2024"
3,"3","A bio-inspired exogenous attention-based architecture for social robots","57195252678","Fernández-Rodicio E.","Expert Systems with Applications","2024"
3,"4","A bio-inspired exogenous attention-based architecture for social robots","6603829011","Salichs M.A.","Expert Systems with Applications","2024"
4,"1","Predicting the virality of fake news at the early stage of dissemination","8875709700","Esteban-Bravo M.","Expert Systems with Applications","2024"
4,"2","Predicting the virality of fake news at the early stage of dissemination","58862043200","Jiménez-Rubido L.d.l.M.","Expert Systems with Applications","2024"
4,"3","Predicting the virality of fake news at the early stage of dissemination","8875709600","Vidal-Sanz J.M.","Expert Systems with Applications","2024"
5,"1","Learning and generalization of task-parameterized skills through few human demonstrations","57945597800","Prados A.","Engineering Applications of Artificial Intelligence","2024"
5,"2","Learning and generalization of task-parameterized skills through few human demonstrations","14029802600","Garrido S.","Engineering Applications of Artificial Intelligence","2024"
5,"3","Learning and generalization of task-parameterized skills through few human demonstrations","7201418416","Barber R.","Engineering Applications of Artificial Intelligence","2024"
6,"1","Exploring the power of photoplethysmogram matrix for atrial fibrillation detection with integrated explainability","57818766700","Fuster-Barceló C.","Engineering Applications of Artificial Intelligence","2024"
6,"2","Exploring the power of photoplethysmogram matrix for atrial fibrillation detection with integrated explainability","57219693178","Guerrero-López A.","Engineering Applications of Artificial Intelligence","2024"
6,"3","Exploring the power of photoplethysmogram matrix for atrial fibrillation detection with integrated explainability","56414371100","Camara C.","Engineering Applications of Artificial Intelligence","2024"
6,"4","Exploring the power of photoplethysmogram matrix for atrial fibrillation detection with integrated explainability","15020997800","Peris-Lopez P.","Engineering Applications of Artificial Intelligence","2024"
7,"1","Predicting Air Traffic Flow Management hotspots due to weather using Convolutional Neural Networks","58886836000","Martínez I.","Engineering Applications of Artificial Intelligence","2024"
7,"2","Predicting Air Traffic Flow Management hotspots due to weather using Convolutional Neural Networks","57207191583","García-Heras J.","Engineering Applications of Artificial Intelligence","2024"
7,"3","Predicting Air Traffic Flow Management hotspots due to weather using Convolutional Neural Networks","57192710997","Jardines A.","Engineering Applications of Artificial Intelligence","2024"
7,"4","Predicting Air Traffic Flow Management hotspots due to weather using Convolutional Neural Networks","8955318900","Cervantes A.","Engineering Applications of Artificial Intelligence","2024"
7,"5","Predicting Air Traffic Flow Management hotspots due to weather using Convolutional Neural Networks","36161339100","Soler M.","Engineering Applications of Artificial Intelligence","2024"
8,"1","Human–robot pair-bonding from a neuroendocrine perspective: Modeling the effect of oxytocin, arginine vasopressin, and dopamine on the social behavior of an autonomous robot","57203536791","Maroto-Gómez M.","Robotics and Autonomous Systems","2024"
8,"2","Human–robot pair-bonding from a neuroendocrine perspective: Modeling the effect of oxytocin, arginine vasopressin, and dopamine on the social behavior of an autonomous robot","58958266400","Bueno-Adrada M.","Robotics and Autonomous Systems","2024"
8,"3","Human–robot pair-bonding from a neuroendocrine perspective: Modeling the effect of oxytocin, arginine vasopressin, and dopamine on the social behavior of an autonomous robot","8613265500","Malfaz M.","Robotics and Autonomous Systems","2024"
8,"4","Human–robot pair-bonding from a neuroendocrine perspective: Modeling the effect of oxytocin, arginine vasopressin, and dopamine on the social behavior of an autonomous robot","36655483500","Castro-González Á.","Robotics and Autonomous Systems","2024"
8,"5","Human–robot pair-bonding from a neuroendocrine perspective: Modeling the effect of oxytocin, arginine vasopressin, and dopamine on the social behavior of an autonomous robot","6603829011","Salichs M.Á.","Robotics and Autonomous Systems","2024"
9,"1","A Fast Monte Carlo Algorithm for Evaluating Matrix Functions with Application in Complex Networks","57225978941","Guidotti N.L.","Journal of Scientific Computing","2024"
9,"2","A Fast Monte Carlo Algorithm for Evaluating Matrix Functions with Application in Complex Networks","6701611860","Acebrón J.A.","Journal of Scientific Computing","2024"
9,"3","A Fast Monte Carlo Algorithm for Evaluating Matrix Functions with Application in Complex Networks","58388734600","Monteiro J.","Journal of Scientific Computing","2024"
10,"1","One-step Bayesian example-dependent cost classification: The OsC-MLP method","57208864152","Mediavilla-Relaño J.","Neural Networks","2024"
10,"2","One-step Bayesian example-dependent cost classification: The OsC-MLP method","35580325600","Lázaro M.","Neural Networks","2024"
11,"1","Thunderstorm prediction during pre-tactical air-traffic-flow management using convolutional neural networks","57192710997","Jardines A.","Expert Systems with Applications","2024"
11,"2","Thunderstorm prediction during pre-tactical air-traffic-flow management using convolutional neural networks","57197791286","Eivazi H.","Expert Systems with Applications","2024"
11,"3","Thunderstorm prediction during pre-tactical air-traffic-flow management using convolutional neural networks","55566069700","Zea E.","Expert Systems with Applications","2024"
11,"4","Thunderstorm prediction during pre-tactical air-traffic-flow management using convolutional neural networks","57207191583","García-Heras J.","Expert Systems with Applications","2024"
11,"5","Thunderstorm prediction during pre-tactical air-traffic-flow management using convolutional neural networks","36678135100","Simarro J.","Expert Systems with Applications","2024"
11,"6","Thunderstorm prediction during pre-tactical air-traffic-flow management using convolutional neural networks","56353066200","Otero E.","Expert Systems with Applications","2024"
11,"7","Thunderstorm prediction during pre-tactical air-traffic-flow management using convolutional neural networks","36161339100","Soler M.","Expert Systems with Applications","2024"
11,"8","Thunderstorm prediction during pre-tactical air-traffic-flow management using convolutional neural networks","55553485100","Vinuesa R.","Expert Systems with Applications","2024"
12,"1","A radial basis function partition of unity method for steady flow simulations","57202997859","Bernal F.","Journal of Computational Physics","2024"
12,"2","A radial basis function partition of unity method for steady flow simulations","41561947100","Safdari-Vaighani A.","Journal of Computational Physics","2024"
12,"3","A radial basis function partition of unity method for steady flow simulations","7202724961","Larsson E.","Journal of Computational Physics","2024"
13,"1","Adaptive velocity control of an autonomous vehicle using input-error model reference approach","57210565636","Simorgh A.","Journal of the Franklin Institute","2024"
13,"2","Adaptive velocity control of an autonomous vehicle using input-error model reference approach","36816482100","Razminia A.","Journal of the Franklin Institute","2024"
13,"3","Adaptive velocity control of an autonomous vehicle using input-error model reference approach","57216312803","Marashian A.","Journal of the Franklin Institute","2024"
