"collaboration_group","sequence","title","authid","authname","journal_name","date"
1,"1","USE OF BLOCKCHAIN TECHNOLOGY IN EDUCATIONAL FIELD","58843716000","Samarai B.A.","International Journal on Technical and Physical Problems of Engineering","2024"
2,"1","A bio-inspired exogenous attention-based architecture for social robots","57204553474","Marques-Villarroya S.","Expert Systems with Applications","2024"
2,"2","A bio-inspired exogenous attention-based architecture for social robots","7202601719","Castillo J.C.","Expert Systems with Applications","2024"
2,"3","A bio-inspired exogenous attention-based architecture for social robots","57195252678","Fernández-Rodicio E.","Expert Systems with Applications","2024"
2,"4","A bio-inspired exogenous attention-based architecture for social robots","6603829011","Salichs M.A.","Expert Systems with Applications","2024"
3,"1","Predicting the virality of fake news at the early stage of dissemination","8875709700","Esteban-Bravo M.","Expert Systems with Applications","2024"
3,"2","Predicting the virality of fake news at the early stage of dissemination","58862043200","Jiménez-Rubido L.d.l.M.","Expert Systems with Applications","2024"
3,"3","Predicting the virality of fake news at the early stage of dissemination","8875709600","Vidal-Sanz J.M.","Expert Systems with Applications","2024"
4,"1","Feasibility Study of Experimental Protocol for the Time-Dependent Mechanical Response of Synthetic Tibia","57656367300","Mantecón R.","Journal of biomechanical engineering","2024"
4,"2","Feasibility Study of Experimental Protocol for the Time-Dependent Mechanical Response of Synthetic Tibia","58957749700","Ruiz A.","Journal of biomechanical engineering","2024"
4,"3","Feasibility Study of Experimental Protocol for the Time-Dependent Mechanical Response of Synthetic Tibia","56973888700","Wheatley B.M.","Journal of biomechanical engineering","2024"
4,"4","Feasibility Study of Experimental Protocol for the Time-Dependent Mechanical Response of Synthetic Tibia","55558061000","Díaz-Álvarez J.","Journal of biomechanical engineering","2024"
4,"5","Feasibility Study of Experimental Protocol for the Time-Dependent Mechanical Response of Synthetic Tibia","58059060700","Miguélez H.","Journal of biomechanical engineering","2024"
4,"6","Feasibility Study of Experimental Protocol for the Time-Dependent Mechanical Response of Synthetic Tibia","27068072500","Youssef G.","Journal of biomechanical engineering","2024"
5,"1","Learning and generalization of task-parameterized skills through few human demonstrations","57945597800","Prados A.","Engineering Applications of Artificial Intelligence","2024"
5,"2","Learning and generalization of task-parameterized skills through few human demonstrations","14029802600","Garrido S.","Engineering Applications of Artificial Intelligence","2024"
5,"3","Learning and generalization of task-parameterized skills through few human demonstrations","7201418416","Barber R.","Engineering Applications of Artificial Intelligence","2024"
6,"1","Exploring the power of photoplethysmogram matrix for atrial fibrillation detection with integrated explainability","57818766700","Fuster-Barceló C.","Engineering Applications of Artificial Intelligence","2024"
6,"2","Exploring the power of photoplethysmogram matrix for atrial fibrillation detection with integrated explainability","57219693178","Guerrero-López A.","Engineering Applications of Artificial Intelligence","2024"
6,"3","Exploring the power of photoplethysmogram matrix for atrial fibrillation detection with integrated explainability","56414371100","Camara C.","Engineering Applications of Artificial Intelligence","2024"
6,"4","Exploring the power of photoplethysmogram matrix for atrial fibrillation detection with integrated explainability","15020997800","Peris-Lopez P.","Engineering Applications of Artificial Intelligence","2024"
7,"1","Predicting Air Traffic Flow Management hotspots due to weather using Convolutional Neural Networks","58886836000","Martínez I.","Engineering Applications of Artificial Intelligence","2024"
7,"2","Predicting Air Traffic Flow Management hotspots due to weather using Convolutional Neural Networks","57207191583","García-Heras J.","Engineering Applications of Artificial Intelligence","2024"
7,"3","Predicting Air Traffic Flow Management hotspots due to weather using Convolutional Neural Networks","57192710997","Jardines A.","Engineering Applications of Artificial Intelligence","2024"
7,"4","Predicting Air Traffic Flow Management hotspots due to weather using Convolutional Neural Networks","8955318900","Cervantes A.","Engineering Applications of Artificial Intelligence","2024"
7,"5","Predicting Air Traffic Flow Management hotspots due to weather using Convolutional Neural Networks","36161339100","Soler M.","Engineering Applications of Artificial Intelligence","2024"
8,"1","Variationally consistent Elishakoff beam theory: Two finite element implementations and application to flexural wave propagation in carbon nanotubes","57218458638","Gómez-Silva F.","Journal of Sound and Vibration","2024"
8,"2","Variationally consistent Elishakoff beam theory: Two finite element implementations and application to flexural wave propagation in carbon nanotubes","6701856469","Askes H.","Journal of Sound and Vibration","2024"
9,"1","Human–robot pair-bonding from a neuroendocrine perspective: Modeling the effect of oxytocin, arginine vasopressin, and dopamine on the social behavior of an autonomous robot","57203536791","Maroto-Gómez M.","Robotics and Autonomous Systems","2024"
9,"2","Human–robot pair-bonding from a neuroendocrine perspective: Modeling the effect of oxytocin, arginine vasopressin, and dopamine on the social behavior of an autonomous robot","58958266400","Bueno-Adrada M.","Robotics and Autonomous Systems","2024"
9,"3","Human–robot pair-bonding from a neuroendocrine perspective: Modeling the effect of oxytocin, arginine vasopressin, and dopamine on the social behavior of an autonomous robot","8613265500","Malfaz M.","Robotics and Autonomous Systems","2024"
9,"4","Human–robot pair-bonding from a neuroendocrine perspective: Modeling the effect of oxytocin, arginine vasopressin, and dopamine on the social behavior of an autonomous robot","36655483500","Castro-González Á.","Robotics and Autonomous Systems","2024"
