"collaboration_group","sequence","title","authid","authname","journal_name","date"
1,"1","Optimal non-absolute domains for the Hardy operator minus identity","6602495745","Barza S.","Journal of Mathematical Analysis and Applications","2024"
1,"2","Optimal non-absolute domains for the Hardy operator minus identity","57970094800","Demissie B.M.","Journal of Mathematical Analysis and Applications","2024"
1,"3","Optimal non-absolute domains for the Hardy operator minus identity","35318725200","Soria J.","Journal of Mathematical Analysis and Applications","2024"
2,"1","Optimal stopping of an Ornstein–Uhlenbeck bridge","57970534900","Azze A.","Stochastic Processes and their Applications","2024"
2,"2","Optimal stopping of an Ornstein–Uhlenbeck bridge","55965792400","D'Auria B.","Stochastic Processes and their Applications","2024"
2,"3","Optimal stopping of an Ornstein–Uhlenbeck bridge","55353349600","García-Portugués E.","Stochastic Processes and their Applications","2024"
3,"1","Human–robot pair-bonding from a neuroendocrine perspective: Modeling the effect of oxytocin, arginine vasopressin, and dopamine on the social behavior of an autonomous robot","57203536791","Maroto-Gómez M.","Robotics and Autonomous Systems","2024"
3,"2","Human–robot pair-bonding from a neuroendocrine perspective: Modeling the effect of oxytocin, arginine vasopressin, and dopamine on the social behavior of an autonomous robot","58958266400","Bueno-Adrada M.","Robotics and Autonomous Systems","2024"
3,"3","Human–robot pair-bonding from a neuroendocrine perspective: Modeling the effect of oxytocin, arginine vasopressin, and dopamine on the social behavior of an autonomous robot","8613265500","Malfaz M.","Robotics and Autonomous Systems","2024"
3,"4","Human–robot pair-bonding from a neuroendocrine perspective: Modeling the effect of oxytocin, arginine vasopressin, and dopamine on the social behavior of an autonomous robot","36655483500","Castro-González Á.","Robotics and Autonomous Systems","2024"
3,"5","Human–robot pair-bonding from a neuroendocrine perspective: Modeling the effect of oxytocin, arginine vasopressin, and dopamine on the social behavior of an autonomous robot","6603829011","Salichs M.Á.","Robotics and Autonomous Systems","2024"
4,"1","Equivalence for flag codes","57219268181","Navarro-Pérez M.Á.","Linear Algebra and Its Applications","2024"
