"collaboration_group","sequence","title","authid","authname","journal_name","date"
1,"1","Effect of mobile food environments on fast food visits","57562644200","García Bulle Bueno B.","Nature Communications","2024"
1,"2","Effect of mobile food environments on fast food visits","55257869700","Horn A.L.","Nature Communications","2024"
1,"3","Effect of mobile food environments on fast food visits","57200283942","Bell B.M.","Nature Communications","2024"
1,"4","Effect of mobile food environments on fast food visits","57215091053","Bahrami M.","Nature Communications","2024"
1,"5","Effect of mobile food environments on fast food visits","6507076223","Bozkaya B.","Nature Communications","2024"
1,"6","Effect of mobile food environments on fast food visits","7102755925","Pentland A.","Nature Communications","2024"
1,"7","Effect of mobile food environments on fast food visits","35075906400","de la Haye K.","Nature Communications","2024"
1,"8","Effect of mobile food environments on fast food visits","7005409234","Moro E.","Nature Communications","2024"
2,"1","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","24823875200","Andrighetto G.","Nature Communications","2024"
2,"2","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","55357647600","Szekely A.","Nature Communications","2024"
2,"3","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","57205880036","Guido A.","Nature Communications","2024"
2,"4","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","7201803113","Gelfand M.","Nature Communications","2024"
2,"5","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","57216487802","Abernathy J.","Nature Communications","2024"
2,"6","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","56692998300","Arikan G.","Nature Communications","2024"
2,"7","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","6603814539","Aycan Z.","Nature Communications","2024"
2,"8","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","57197742953","Bankar S.","Nature Communications","2024"
2,"9","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","16244008400","Barrera D.","Nature Communications","2024"
2,"10","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","16308815800","Basnight-Brown D.","Nature Communications","2024"
2,"11","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","57188645239","Belaus A.","Nature Communications","2024"
2,"12","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","56275370100","Berezina E.","Nature Communications","2024"
2,"13","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","55949272200","Blumen S.","Nature Communications","2024"
2,"14","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","23670309700","Boski P.","Nature Communications","2024"
2,"15","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","57202200684","Bui H.T.T.","Nature Communications","2024"
2,"16","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","7005261457","Cárdenas J.C.","Nature Communications","2024"
2,"17","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","57144591800","Čekrlija Đ.","Nature Communications","2024"
2,"18","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","36760629400","de Barra M.","Nature Communications","2024"
2,"19","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","8453346500","de Zoysa P.","Nature Communications","2024"
2,"20","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","56674686500","Dorrough A.","Nature Communications","2024"
2,"21","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","14062833100","Engelmann J.B.","Nature Communications","2024"
2,"22","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","57190068146","Euh H.","Nature Communications","2024"
2,"23","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","54881099700","Fiedler S.","Nature Communications","2024"
2,"24","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","57200373440","Foster-Gimbel O.","Nature Communications","2024"
2,"25","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","57211207881","Freitas G.","Nature Communications","2024"
2,"26","Changes in social norms during the early stages of the COVID-19 pandemic across 43 countries","57376572100","Fülöp M.","Nature Communications","2024"
