"collaboration_group","sequence","title","authid","authname","journal_name","date"
1,"1","Science communication management. 25 ideas to improve your research","57198771343","Vivo J.M.N.","Revista Latina de Comunicacion Social","2024"
1,"2","Science communication management. 25 ideas to improve your research","58510184500","Damas S.H.","Revista Latina de Comunicacion Social","2024"
2,"1","Young People’s Attitudes towards Democracy and Political Participation: Evidence from a Cross-European Study","58927922200","Grassi E.F.G.","Government and Opposition","2024"
2,"2","Young People’s Attitudes towards Democracy and Political Participation: Evidence from a Cross-European Study","57190950505","Portos M.","Government and Opposition","2024"
2,"3","Young People’s Attitudes towards Democracy and Political Participation: Evidence from a Cross-European Study","36670974600","Felicetti A.","Government and Opposition","2024"
3,"1","A note on hydropower as a marginal price setter for Spain's electricity market in 2021–2022","18038246100","Peña J.I.","Utilities Policy","2024"
4,"1","Social media algorithmic versus professional journalists’ news selection: Effects of gate keeping on traditional and social media news trust","57221700109","Scheffauer R.","Journalism","2024"
4,"2","Social media algorithmic versus professional journalists’ news selection: Effects of gate keeping on traditional and social media news trust","56118529700","Goyanes M.","Journalism","2024"
4,"3","Social media algorithmic versus professional journalists’ news selection: Effects of gate keeping on traditional and social media news trust","26632759000","Gil de Zúñiga H.","Journalism","2024"
5,"1","“I Don’t Think That’s True, Bro!” Social Corrections of Misinformation in India","57224635746","Badrinathan S.","International Journal of Press/Politics","2024"
5,"2","“I Don’t Think That’s True, Bro!” Social Corrections of Misinformation in India","55635787000","Chauchard S.","International Journal of Press/Politics","2024"
6,"1","Internet defamation litigation. Comments on the SAP Madrid 10 February 2023: Jurisdiction and applicable Law, is silence worth a thousand words?","57222504983","Pérez S.R.","Cuadernos de Derecho Transnacional","2024"
7,"1","Development by bar associations of guidelines for determining professional fees: Practice described as anti-competitive","57222505214","Rodríguez Rodrigo J.","Cuadernos de Derecho Transnacional","2024"
8,"1","Upcycling of textile products vs trademark right infringement. Material and cross-border litigation strategies","57222507561","Antón Juárez I.","Cuadernos de Derecho Transnacional","2024"
9,"1","New milestone in the Prestige case: Note on the ruling of the High Court of Justice (commercial Court) of October 6, 2023 in the litigation between the London Steam-ship Owers’ Mutual Insurance Association Limited and the Kingdom of Spain","58932279300","Alba Fernández M.","Cuadernos de Derecho Transnacional","2024"
10,"1","Feasibility of contrail avoidance in a commercial flight planning system: an operational analysis","58949455800","Martin Frias A.","Environmental Research: Infrastructure and Sustainability","2024"
10,"2","Feasibility of contrail avoidance in a commercial flight planning system: an operational analysis","57886085900","Shapiro M.L.","Environmental Research: Infrastructure and Sustainability","2024"
10,"3","Feasibility of contrail avoidance in a commercial flight planning system: an operational analysis","37002544700","Engberg Z.","Environmental Research: Infrastructure and Sustainability","2024"
10,"4","Feasibility of contrail avoidance in a commercial flight planning system: an operational analysis","57218565392","Zopp R.","Environmental Research: Infrastructure and Sustainability","2024"
10,"5","Feasibility of contrail avoidance in a commercial flight planning system: an operational analysis","36161339100","Soler M.","Environmental Research: Infrastructure and Sustainability","2024"
10,"6","Feasibility of contrail avoidance in a commercial flight planning system: an operational analysis","55507031300","Stettler M.E.J.","Environmental Research: Infrastructure and Sustainability","2024"
11,"1","Gender differences in google scholar representation and impact: an empirical analysis of political communication, journalism, health communication, and media psychology","56118529700","Goyanes M.","Scientometrics","2024"
11,"2","Gender differences in google scholar representation and impact: an empirical analysis of political communication, journalism, health communication, and media psychology","57211317884","Tóth T.","Scientometrics","2024"
11,"3","Gender differences in google scholar representation and impact: an empirical analysis of political communication, journalism, health communication, and media psychology","57407081000","Háló G.","Scientometrics","2024"
12,"1","Can cognitive dissonance explain beliefs regarding meritocracy?","57217733984","Foley W.","Social Science Research","2024"
13,"1","Co-citation analysis between coupler authors of a scientific domain’s citation identity: a case study in scientometrics","57221643019","Castanha R.G.","Scientometrics","2024"
13,"2","Co-citation analysis between coupler authors of a scientific domain’s citation identity: a case study in scientometrics","55079980300","Grácio M.C.C.","Scientometrics","2024"
13,"3","Co-citation analysis between coupler authors of a scientific domain’s citation identity: a case study in scientometrics","25723755700","Perianes-Rodríguez A.","Scientometrics","2024"
14,"1","Coded Caching With Heterogeneous User Profiles","57218528534","Zhang C.","IEEE Transactions on Information Theory","2024"
14,"2","Coded Caching With Heterogeneous User Profiles","57211256020","Wang S.","IEEE Transactions on Information Theory","2024"
14,"3","Coded Caching With Heterogeneous User Profiles","24066547400","Aggarwal V.","IEEE Transactions on Information Theory","2024"
14,"4","Coded Caching With Heterogeneous User Profiles","16239665500","Peleato B.","IEEE Transactions on Information Theory","2024"
15,"1","Historical changes in Mediterranean rural settlements (southern Spain, 1787–2019)","58851256200","Martínez de la Fuente J.L.","Journal of Rural Studies","2024"
15,"2","Historical changes in Mediterranean rural settlements (southern Spain, 1787–2019)","37111070400","Infante-Amate J.","Journal of Rural Studies","2024"
15,"3","Historical changes in Mediterranean rural settlements (southern Spain, 1787–2019)","57148513400","Travieso E.","Journal of Rural Studies","2024"
16,"1","Lexical Ambiguity in Political Rhetoric: Why Morality Doesn't Fit in a Bag of Words","56516284600","Kraft P.W.","British Journal of Political Science","2024"
16,"2","Lexical Ambiguity in Political Rhetoric: Why Morality Doesn't Fit in a Bag of Words","14522718400","Klemmensen R.","British Journal of Political Science","2024"
17,"1","The convergence of Artificial Intelligence and Digital Skills: a necessary space for Digital Education and Education 4.0","6506951944","Marzal M.Á.","JLIS.it","2024"
17,"2","The convergence of Artificial Intelligence and Digital Skills: a necessary space for Digital Education and Education 4.0","56454979100","Vivarelli M.","JLIS.it","2024"
18,"1","ANALYSIS OF THE RELATIONSHIP BETWEEN COMMUNICATION, JOURNALISM AND PEACE","57209739744","Salinas A.I.A.","Index.comunicacion","2024"
18,"2","ANALYSIS OF THE RELATIONSHIP BETWEEN COMMUNICATION, JOURNALISM AND PEACE","57218577971","Barranquero A.","Index.comunicacion","2024"
18,"3","ANALYSIS OF THE RELATIONSHIP BETWEEN COMMUNICATION, JOURNALISM AND PEACE","58849526600","Barreda D.H.","Index.comunicacion","2024"
19,"1","Application of AI tools as methodology for the analysis of toxicity in social media: A case study of Spanish politics on Twitter","57221466256","Carral U.","Revista Latina de Comunicacion Social","2024"
19,"2","Application of AI tools as methodology for the analysis of toxicity in social media: A case study of Spanish politics on Twitter","57693924900","Elías C.","Revista Latina de Comunicacion Social","2024"
20,"1","The concept of Media Reform and its contributions to the processes of ecosocial and communicative justice","57218577971","Barranquero A.","Revista Latina de Comunicacion Social","2024"
20,"2","The concept of Media Reform and its contributions to the processes of ecosocial and communicative justice","55579684800","Candón-Mena J.","Revista Latina de Comunicacion Social","2024"
20,"3","The concept of Media Reform and its contributions to the processes of ecosocial and communicative justice","35176290300","Kidd D.","Revista Latina de Comunicacion Social","2024"
21,"1","Older people, fragility and autonomy","58965457200","Delgado Ruiz J.","Revista de Derecho de la Seguridad Social, Laborum","2024"
22,"1","US-based SVOD services in Spain: analysis of availability and prominence of local works","58767908300","García Leiva M.T.","Estudios Sobre el Mensaje Periodistico","2024"
22,"2","US-based SVOD services in Spain: analysis of availability and prominence of local works","24586810200","Albornoz L.A.","Estudios Sobre el Mensaje Periodistico","2024"
22,"3","US-based SVOD services in Spain: analysis of availability and prominence of local works","58963429400","Gallo P.","Estudios Sobre el Mensaje Periodistico","2024"
23,"1","Content Analysis in SPSS and KALPHA: Procedure for a Reliable Quantitative Analysis with Cohen's Kappa and Krippendorff's Alpha","56118529700","Goyanes M.","Estudios Sobre el Mensaje Periodistico","2024"
23,"2","Content Analysis in SPSS and KALPHA: Procedure for a Reliable Quantitative Analysis with Cohen's Kappa and Krippendorff's Alpha","56386084000","Piñeiro-Naval V.","Estudios Sobre el Mensaje Periodistico","2024"
24,"1","Populist Radical-Right Attitudes, Political Involvement and Selective Information Consumption: Who Tunes Out and Who Prefers Attitude-Consonant Information","7201524826","Maier M.","Mass Communication and Society","2024"
24,"2","Populist Radical-Right Attitudes, Political Involvement and Selective Information Consumption: Who Tunes Out and Who Prefers Attitude-Consonant Information","23024201100","Adam S.","Mass Communication and Society","2024"
24,"3","Populist Radical-Right Attitudes, Political Involvement and Selective Information Consumption: Who Tunes Out and Who Prefers Attitude-Consonant Information","57202420393","Gil Lopez T.","Mass Communication and Society","2024"
24,"4","Populist Radical-Right Attitudes, Political Involvement and Selective Information Consumption: Who Tunes Out and Who Prefers Attitude-Consonant Information","56951186100","Makhortykh M.","Mass Communication and Society","2024"
