"authid","discipline","collaborator","collaborate_paper_n","n_paper","authname","firstname"
57221700109,"HSS",2,5,5,"Scheffauer R.","Scheffauer"
56118529700,"HSS",2,88,103,"Goyanes M.","Goyanes"
26632759000,"HSS",2,27,27,"Gil de Zúñiga H.","Gil"
58643084800,"HSS",1,2,2,"Fernández-Roldan A.","Fernández-Roldan"
14012762100,"HSS",1,2,2,"Teira D.","Teira"
36174329800,"HSS",3,35,35,"Rubio H.","Rubio"
57132443900,"HSS",3,17,17,"Bustos A.","Bustos"
6602639608,"HSS",3,69,69,"Castejon C.","Castejon"
7004348300,"HSS",3,12,12,"Meneses J.","Meneses"
55885990400,"HSS",2,23,25,"Génova G.","Génova"
36901636100,"HSS",2,18,18,"Moreno V.","Moreno"
56861883200,"HSS",2,5,5,"Parra E.","Parra"
6506951944,"HSS",1,16,17,"Marzal M.Á.","Marzal"
56454979100,"HSS",1,3,3,"Vivarelli M.","Vivarelli"
57209739744,"HSS",2,2,2,"Salinas A.I.A.","Salinas"
57218577971,"HSS",2,11,15,"Barranquero A.","Barranquero"
58849526600,"HSS",2,2,2,"Barreda D.H.","Barreda"
57192272859,"HSS",1,12,17,"Fernández-Castrillo C.","Fernández-Castrillo"
57233188600,"HSS",1,3,3,"Mantoan D.","Mantoan"
58879499200,"HSS",1,3,3,"Vilar Sastre G.","Vilar"
55578587500,"HSS",1,28,30,"Barranquero Carretero A.","Barranquero"
55817086700,"HSS",1,22,22,"García Santamaría J.V.","García"
57189726231,"HSS",1,9,11,"Sánchez Illán J.C.","Sánchez"
36880378500,"HSS",1,12,12,"Serra M.","Serra"
57193260369,"HSS",1,9,9,"González R.","González"
57192272859,"HSS",0,12,17,"Fernández-Castrillo C.","Fernández-Castrillo"
36616991900,"HSS",2,5,5,"Casero-Ripollés A.","Casero-Ripollés"
57191495484,"HSS",2,15,15,"Tuñón J.","Tuñón"
55382446200,"HSS",2,4,4,"Bouza-García L.","Bouza-García"
57203354696,"HSS",4,2,2,"Tverskoi D.","Tverskoi"
57205880036,"HSS",4,3,3,"Guido A.","Guido"
24823875200,"HSS",4,5,5,"Andrighetto G.","Andrighetto"
23068973000,"HSS",4,19,21,"Sánchez A.","Sánchez"
7003653401,"HSS",4,2,2,"Gavrilets S.","Gavrilets"
57221466256,"HSS",2,6,6,"Carral U.","Carral"
57191495484,"HSS",2,15,15,"Tuñón J.","Tuñón"
57693924900,"HSS",2,7,9,"Elías C.","Elías"
57224010592,"HSS",1,5,7,"Campos-Rueda M.","Campos-Rueda"
56118529700,"HSS",1,88,103,"Goyanes M.","Goyanes"
57221729811,"HSS",2,4,4,"Guo Q.","Guo"
24171057300,"HSS",2,33,33,"Grané A.","Grané"
6506800420,"HSS",2,16,16,"Albarrán I.","Albarrán"
57189248337,"HSS",1,3,3,"Castro De Paz J.L.","Castro"
57194458129,"HSS",1,10,11,"Aranzubia A.","Aranzubia"
57194458129,"HSS",1,10,11,"Aranzubia A.","Aranzubia"
37069786300,"HSS",1,2,2,"Triana-Toribio N.","Triana-Toribio"
57203536791,"HSS",5,30,30,"Maroto-Gómez M.","Maroto-Gómez"
55215683700,"HSS",5,68,68,"Alonso-Martín F.","Alonso-Martín"
8613265500,"HSS",5,56,56,"Malfaz M.","Malfaz"
36655483500,"HSS",5,62,62,"Castro-González Á.","Castro-González"
7202601719,"HSS",5,49,49,"Castillo J.C.","Castillo"
6603829011,"HSS",5,81,81,"Salichs M.Á.","Salichs"
57221465895,"HSS",0,2,7,"de La Escosura L.P.","de"
58191044200,"HSS",1,3,3,"de Dios R.G.","de"
35303400800,"HSS",1,46,46,"Segura-Bedmar I.","Segura-Bedmar"
57210098653,"HSS",2,11,11,"Alarcón R.","Alarcón"
7202906176,"HSS",2,59,59,"Martínez P.","Martínez"
7101696703,"HSS",2,44,44,"Moreno L.","Moreno"
56118529700,"HSS",1,88,103,"Goyanes M.","Goyanes"
57211452465,"HSS",1,5,6,"Cañedo A.","Cañedo"
56724217500,"HSS",1,24,24,"Labayen M.F.","Labayen"
58582423200,"HSS",1,2,2,"Saiz L.G.","Saiz"
57212756704,"HSS",1,3,4,"Bazán-Gil V.","Bazán-Gil"
35559423200,"HSS",1,5,5,"Pastor-Sánchez J.A.","Pastor-Sánchez"
55796984200,"HSS",3,2,2,"López Á.G.","López"
58860338700,"HSS",3,2,2,"Mulas M.J.L.","Mulas"
6505664900,"HSS",3,4,4,"Mezcua B.R.","Mezcua"
58663085600,"HSS",3,4,4,"Pena J.M.S.","Pena"
57218577971,"HSS",0,11,15,"Barranquero A.","Barranquero"
58779324600,"HSS",2,2,2,"Serrano M.J.P.","Serrano"
58779483100,"HSS",2,2,2,"García J.V.","García"
57216591770,"HSS",2,5,5,"Pallares M.R.","Pallares"
57454174300,"HSS",1,3,5,"Moreno E.T.","Moreno"
58778647900,"HSS",1,2,2,"Cazalla L.M.","Cazalla"
57207913782,"HSS",2,4,4,"García Osma B.","García"
24338775500,"HSS",2,1,1,"Mora A.","Mora"
57056439500,"HSS",2,1,1,"Pierk J.","Pierk"
36767886400,"HSS",1,9,9,"Langbecker A.","Langbecker"
58683688800,"HSS",1,2,2,"Matamoros D.C.","Matamoros"
58605217400,"HSS",4,1,1,"Nguyen V.","Nguyen"
